Expiry,Strike,Last Price,Bid,Ask,Volume,Open Interest,Time_to_Maturity,Option_Price,Log_Return,Volatility
2024-06-21,2100.0,560.0,0.0,0.0,2.0,6,0.0136892539356605,560.0,0.007636224748981695,40.939869707993616
2024-06-21,2150.0,568.41,0.0,0.0,1.0,3,0.0136892539356605,568.41,0.014906205583185629,40.75562162189268
2024-06-21,2200.0,493.55,0.0,0.0,1.0,5,0.0136892539356605,493.55,-0.14121881844848344,40.78131049175667
2024-06-21,2250.0,470.0,0.0,0.0,1.0,7,0.0136892539356605,470.0,-0.048891476159792786,40.78943493230508
2024-06-21,2300.0,445.5,0.0,0.0,5.0,12,0.0136892539356605,445.5,-0.053535447793240265,40.79832728929503
2024-06-21,2350.0,390.0,0.0,0.0,1.0,12,0.0136892539356605,390.0,-0.13305050778717187,40.82186919633752
2024-06-21,2400.0,396.0,0.0,0.0,3.0,7,0.0136892539356605,396.0,0.01526747213078838,40.819531171823925
2024-06-21,2450.0,439.72,0.0,0.0,2.0,4,0.0136892539356605,439.72,0.10472394945618257,1.249942226237286
2024-06-21,2500.0,356.41,0.0,0.0,1.0,6,0.0136892539356605,356.41,-0.21005640714624557,1.368687445573107
2024-06-21,2600.0,293.6,0.0,0.0,3.0,5,0.0136892539356605,293.6,-0.19386345682405695,1.4376911813528186
2024-06-21,2650.0,302.0,0.0,0.0,1.0,2,0.0136892539356605,302.0,0.028208720634508938,1.438624140747608
2024-06-21,2800.0,250.0,0.0,0.0,1.0,4,0.0136892539356605,250.0,-0.1889660995126232,1.463137387054217
2024-06-21,3000.0,193.0,0.0,0.0,4.0,14,0.0136892539356605,193.0,-0.25877072895736086,1.5737972140035719
2024-06-21,3050.0,178.68,0.0,0.0,1.0,2,0.0136892539356605,178.68,-0.07709369242096757,1.573791681505133
2024-06-21,3100.0,174.0,0.0,0.0,1.0,41,0.0136892539356605,174.0,-0.026541197269388993,1.5118866010961167
2024-06-21,3150.0,164.0,0.0,0.0,1.0,6,0.0136892539356605,164.0,-0.05918887139033065,1.4254491053448564
2024-06-21,3200.0,152.18,0.0,0.0,2.0,4,0.0136892539356605,152.18,-0.07480239707582169,1.413258175318137
2024-06-21,3250.0,200.0,0.0,0.0,1.0,4,0.0136892539356605,200.0,0.27325333579965994,1.852702998863271
2024-06-21,3300.0,111.34,0.0,0.0,1.0,6,0.0136892539356605,111.34,-0.585728783792675,2.606223127649624
2024-06-21,3400.0,121.4,0.0,0.0,2.0,34,0.0136892539356605,121.4,0.08650229587003613,2.667871727148556
2024-06-21,3500.0,105.5,0.0,0.0,5.0,41,0.0136892539356605,105.5,-0.14037992570927682,2.6770232399701164
2024-06-28,80.0,95.25,96.6,97.4,1.0,1,0.0328542094455852,95.25,-0.10220593890931079,2.659151120058828
2024-06-28,95.0,81.59,81.65,82.45,1.0,1,0.0328542094455852,81.59,-0.1547983085661015,2.6442747576422136
2024-06-28,100.0,76.76,76.65,77.45,5.0,6,0.0328542094455852,76.76,-0.06102303430120963,2.640222834786462
2024-06-28,110.0,67.0,66.7,67.45,1.0,6,0.0328542094455852,67.0,-0.13599105174853315,2.640950672168029
2024-06-28,115.0,61.97,61.7,62.5,2.0,53,0.0328542094455852,61.97,-0.07804222241694998,2.6377265110357375
2024-06-28,120.0,56.55,56.7,57.5,10.0,51,0.0328542094455852,56.55,-0.09152519441188668,2.6338862968187944
2024-06-28,125.0,49.95,51.7,52.4,1.0,27,0.0328542094455852,49.95,-0.12410269746756682,2.6065057213167067
2024-06-28,130.0,46.5,46.7,47.5,1.0,3,0.0328542094455852,46.5,-0.07157019250125189,2.5027149537728586
2024-06-28,135.0,41.5,41.75,42.55,1.0,2,0.0328542094455852,41.5,-0.11375888535665803,2.4748207327348295
2024-06-28,140.0,36.86,36.8,37.45,1.0,44,0.0328542094455852,36.86,-0.11856647499497537,2.453410236679201
2024-06-28,145.0,31.92,31.75,32.45,3.0,20,0.0328542094455852,31.92,-0.14389417966006918,2.413246480574613
2024-06-28,150.0,27.25,26.8,27.6,59.0,21,0.0328542094455852,27.25,-0.15817925147235504,2.4024046433835795
2024-06-28,155.0,21.95,21.85,22.45,5.0,31,0.0328542094455852,21.95,-0.21628638158807273,2.3725852723044576
2024-06-28,157.5,18.07,19.45,20.15,1.0,1,0.0328542094455852,18.07,-0.19451403491704314,2.3909026825194846
2024-06-28,160.0,16.59,16.9,17.7,2.0,1002,0.0328542094455852,16.59,-0.08545300040178401,2.3739167427594676
2024-06-28,165.0,12.3,12.3,12.55,11.0,210,0.0328542094455852,12.3,-0.2992008418239812,2.451088440938504
2024-06-28,167.5,9.69,9.95,10.4,51.0,200,0.0328542094455852,9.69,-0.23850483647569704,2.475713873552946
2024-06-28,170.0,7.38,7.75,8.25,91.0,1971,0.0328542094455852,7.38,-0.2723207872902937,2.0349851326708106
2024-06-28,172.5,5.7,5.75,5.95,251.0,197,0.0328542094455852,5.7,-0.2583074637718767,1.3751988902989813
2024-06-28,175.0,4.1,4.05,4.2,684.0,1103,0.0328542094455852,4.1,-0.3294792011302425,1.25589060418024
2024-06-28,177.5,2.73,2.61,2.78,680.0,844,0.0328542094455852,2.73,-0.4066853645133937,1.5124929369748223
2024-06-28,180.0,1.63,1.5,1.7,2492.0,1959,0.0328542094455852,1.63,-0.5157215943781974,1.8950560225903734
2024-06-28,182.5,0.94,0.95,1.0,562.0,263,0.0328542094455852,0.94,-0.5504554185367584,2.254283360507725
2024-06-28,185.0,0.53,0.5,0.56,834.0,2430,0.0328542094455852,0.53,-0.5730028687178819,2.5044499260713726
2024-06-28,187.5,0.28,0.26,0.29,38.0,214,0.0328542094455852,0.28,-0.6380874033769179,2.8320127091223526
2024-06-28,190.0,0.16,0.14,0.16,113.0,1109,0.0328542094455852,0.16,-0.5596157879354228,2.9299952297962544
2024-06-28,192.5,0.09,0.07,0.12,30.0,76,0.0328542094455852,0.09,-0.5753641449035618,3.0083295133189294
2024-06-28,195.0,0.05,0.05,0.09,28.0,2419,0.0328542094455852,0.05,-0.587786664902119,3.0814187676511624
2024-06-28,197.5,0.05,0.03,0.07,1.0,261,0.0328542094455852,0.05,0.0,3.165550297201325
2024-06-28,200.0,0.04,0.02,0.05,73.0,692,0.0328542094455852,0.04,-0.22314355131420985,3.0952652752244596
2024-06-28,205.0,0.04,0.02,0.03,22.0,51,0.0328542094455852,0.04,0.0,3.2222931463792888
